address_city,address_county,address_street,company,date,id,name,status,url
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"SALISBURY, MD 21801",Wicomico County,1724 N SALISBURY BLVD UNIT 2,VAPE IT STORE I,4/27/2017,22173807,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=Kch8QLy44P8%3D
"SALISBURY, MD 21801",Wicomico County,1015 S SALISBURY BLVD,VAPE IT STORE II,4/27/2017,22173808,AMIN NARGIS,Issued,pbLicenseDetail.jsp?owi=uuOm%2B41TYQE%3D
"GAMBRILLS, MD 21054",Anne Arundel County,2299 JOHNS HOPKINS ROAD,VAPEPAD THE,4/05/2017,02104436,ANJ DISTRIBUTIONS LLC,Issued,pbLicenseDetail.jsp?owi=9ht3HmZUqTo%3D
"CHESTER, MD 21619",Queen Anne's County,110 S. PINEY RD,VAPE FROG,5/31/2017,17165957,COX TRADING COMPANY L L C,Issued,pbLicenseDetail.jsp?owi=7JaLnZGqcN4%3D
"SEVERNA PARK, MD 21146",Anne Arundel County,346 RITCHIE HIGHWAY,VAPE FROG,,,COX TRADING LLC,Pending,
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
"STEVENSVILLE, MD 21666",Queen Anne's County,356 ROMANCOKE ROAD,VAPE BIRD,4/13/2017,17166688,HUTCH VAPES LLC,Issued,pbLicenseDetail.jsp?owi=9mJ4H%2BSZJng%3D
"EDGEWATER, MD 21037",Anne Arundel County,185 MITCHELLS CHANCE RD,VAPE LOFT (THE),4/13/2017,02102408,DISBROW II EMERSON HARRINGTON,Issued,pbLicenseDetail.jsp?owi=VP2Db2NhE18%3D
"COLUMBIA, MD 21045",Howard County,7104 MINSTREL UNIT #7,VAPE N CIGAR,5/19/2017,13141786,DISCOUNT TOBACCO ESSEX LLC,Issued,pbLicenseDetail.jsp?owi=xCd%2F%2B8Mqink%3D
"WESTMINSTER, MD 21157",Carroll County,330 ONE FORTY VILLAGE ROAD,VAPE DOJO,4/21/2017,06126253,FAIRGROUND VILLAGE LLC,Issued,pbLicenseDetail.jsp?owi=e39%2BGYdfzG4%3D
"CHARLOTTE HALL, MD 20622",St. Mary's County,29890 THREE NOTCH ROAD,VAPE HAVEN,,,GRIMM JENNIFER,Pending,
